State, FIPS,Met_Healthy_People_Objective of,"Age_Adjusted_Incidence_Rate_cases_per_100,000","Lower_95%_Confidence_Interval","Upper_95%_Confidence_Interval",Average_Annual_Count,Recent_Trend,"Recent_5_Year_Trend_in_Incidence_Rates","Lower_95%_Confidence_Interval","Upper_95%_Confidence_Interval"
"Menard County, Illinois(6,10)",17129,***,2188.6 ,1917.5, 2487.5,48,stable,4.0 ,-15.5, 28.0
"Madison County, New York(7,8)",36053,***,2188.2 ,2066.3, 2315.4,246,falling,-0.9 ,-1.7, -0.1
"Martin County, North Carolina(6,10)",37117,***,2187.5 ,2001, 2386.8,104,stable,-1.3 ,-11.5, 10.0
"Oxford County, Maine(6,10)",23017,***,2187.1 ,2063.1, 2316.7,237,stable,0.0 ,-6.3, 6.7
"Monroe County, Pennsylvania(6,10)",42089,***,2187.1 ,2104.2, 2272.4,543,stable,2.0 ,-3.2, 7.3
"Clay County, Illinois(6,10)",17025,***,2187 ,1936.5, 2460.7,56,stable,7.6 ,-4.9, 21.8
"Breckinridge County, Kentucky(7,8)",21027,***,2186.7 ,1967.4, 2424.1,75,stable,-0.2 ,-1.7, 1.4
"Webster County, West Virginia(6,10)",54101,***,2186.1 ,1881.2, 2526.5,38,stable,-1.7 ,-15.1, 13.8
"Logan County, Ohio(6,10)",39091,***,2185.1 ,2033.6, 2344.9,158,stable,0.1 ,-7.8, 8.7
"Greer County, Oklahoma(6,10)",40055,***,2184.9 ,1803.6, 2622.1,23,stable,-1.4 ,-18.9, 19.9
"Oneida County, New York(7,8)",36065,***,2184.9 ,2119.4, 2251.9,873,falling,-0.8 ,-1.2, -0.5
"De Soto Parish, Louisiana(7,8)",22031,***,2184.7 ,1989.8, 2393.6,94,stable,-0.6 ,-1.7, 0.5
"York County, Pennsylvania(6,10)",42133,***,2184.6 ,2134.8, 2235.3,1495,stable,0.1 ,-2.4, 2.6
"Mineral County, Colorado(6,10)",08079,***,2184.6 ,1266.6, 3505.3,4,*,*,*,*
"Bureau County, Illinois(6,10)",17011,***,2183.1 ,2025.5, 2349.7,145,stable,3.3 ,-5.8, 13.2
"Forrest County, Mississippi(6,10)",28035,***,2182.9 ,2049.9, 2322.1,205,stable,-0.8 ,-5.0, 3.6
"Polk County, Georgia(7,8)",13233,***,2182.6 ,2017.4, 2357.9,133,falling,-1.6 ,-2.8, -0.3
"Rabun County, Georgia(7,8)",13241,***,2182.5 ,1976.8, 2403.8,85,stable,0.6 ,-0.9, 2.1
"Tipton County, Indiana(6,10)",18159,***,2182.2 ,1942.8, 2442.9,62,stable,-0.9 ,-10.2, 9.4
"Brunswick County, Virginia(6,10)",51025,***,2181.9 ,1956.5, 2426.2,69,rising,5.5 ,0.1, 11.2
"Charles Mix County, South Dakota(6,10)",46023,***,2181.8 ,1877.1, 2521.7,38,stable,0.4 ,-14.6, 17.9
"Fulton County, Pennsylvania(6,10)",42057,***,2181.5 ,1943.3, 2441.1,62,stable,-2.5 ,-9.2, 4.7
"Columbia County, Pennsylvania(6,10)",42037,***,2181.3 ,2061.5, 2306.1,254,stable,-0.3 ,-4.4, 4.0
"Cabell County, West Virginia(6,10)",54011,***,2180.5 ,2079.5, 2285.2,355,stable,-0.8 ,-7.1, 5.9
"Adams County, Ohio(6,10)",39001,***,2180.5 ,1989.7, 2384.7,98,stable,2.4 ,-8.2, 14.1
"Wabash County, Illinois(6,10)",17185,***,2180.1 ,1909.8, 2477.5,48,stable,-6.4 ,-12.7, 0.4
"Colonial Heights City, Virginia(6,10)",51570,***,2179.8 ,1964.2, 2412.5,76,stable,3.3 ,-12.7, 22.2
"Pulaski County, Illinois(6,10)",17153,***,2179.8 ,1812.3, 2599.6,25,stable,-2.7 ,-21.3, 20.3
"Hancock County, Tennessee(6,10)",47067,***,2179.7 ,1822.7, 2586.8,27,stable,-6.3 ,-15.6, 4.0
"Boone County, Kentucky(7,8)",21015,***,2179.7 ,2069.3, 2294.4,308,falling,-0.8 ,-1.5, -0.1
"Knox County, Texas(6,10)",48275,***,2179.6 ,1725.2, 2715.6,16,stable,4.4 ,-20.9, 37.8
"Douglas County, Washington(6,10)",53017,***,2179.1 ,2015.9, 2352,135,stable,-7.6 ,-17.6, 3.7
"Waukesha County, Wisconsin(6,10)",55133,***,2178.5 ,2127, 2230.9,1398,stable,0.2 ,-1.6, 2.0
"McDowell County, North Carolina(6,10)",37111,***,2178.1 ,2036.2, 2327.4,179,stable,-0.7 ,-7.4, 6.5
"Adams County, Pennsylvania(6,10)",42001,***,2177.9 ,2081.4, 2277.8,391,stable,0.0 ,-8.3, 9.1
"Bibb County, Georgia(7,8)",13021,***,2177.6 ,2089.4, 2268.7,468,falling,-0.5 ,-0.8, -0.1
"Turner County, South Dakota(6,10)",46125,***,2177.4 ,1863.1, 2529,36,stable,-4.6 ,-29.3, 28.7
"Vermilion County, Illinois(6,10)",17183,***,2177.3 ,2067.9, 2291.1,301,stable,-1.4 ,-4.3, 1.6
"Fayette County, Kentucky(7,8)",21067,***,2177.3 ,2108.7, 2247.5,787,falling,-1.2 ,-1.6, -0.8
"Bucks County, Pennsylvania(6,10)",42017,***,2177.3 ,2136.5, 2218.6,2232,stable,-0.4 ,-2.1, 1.3
"Haralson County, Georgia(7,8)",13143,***,2177.2 ,1983.3, 2385.1,95,stable,0.1 ,-0.8, 1.0
"Berks County, Pennsylvania(6,10)",42011,***,2177.1 ,2126.1, 2229.1,1423,stable,0.1 ,-5.4, 6.0
"Cleveland County, Arkansas(6,10)",05025,***,2177 ,1858.9, 2534.2,34,stable,6.3 ,-12.8, 29.7
"McDuffie County, Georgia(7,8)",13189,***,2176.7 ,1953.2, 2419,72,stable,1.1 ,-0.6, 2.8
"Washington County, Rhode Island(6,10)",44009,***,2176.2 ,2087.9, 2267.3,477,stable,-1.2 ,-3.7, 1.3
"Saline County, Illinois(6,10)",17165,***,2175.9 ,1988.9, 2375.8,100,rising,2.9 ,0.2, 5.6
"New Castle County, Delaware(6,10)",10003,***,2175.4 ,2127.9, 2223.8,1633,stable,-0.3 ,-3.4, 3.0
"Grant County, Arkansas(6,10)",05053,***,2175.4 ,1938.6, 2433.4,63,stable,2.8 ,-1.7, 7.6
"Golden Valley County, North Dakota(6,10)",38033,***,2175.3 ,1520.9, 3010.9,8,stable,-10.6 ,-20.4, 0.3
"Marion County, Missouri(6,10)",29127,***,2175.2 ,1988.2, 2374.9,102,stable,-1.6 ,-8.5, 5.7
"Union County, Illinois(6,10)",17181,***,2175 ,1958.1, 2409.5,74,stable,-2.0 ,-13.8, 11.5
"Philadelphia County, Pennsylvania(6,10)",42101,***,2174.9 ,2145.5, 2204.7,4272,falling,-1.4 ,-2.5, -0.3
"Berkeley County, West Virginia(6,10)",54003,***,2174 ,2062.7, 2289.8,304,stable,-0.5 ,-5.3, 4.5
"Avery County, North Carolina(6,10)",37011,***,2173.5 ,1955.9, 2408.7,74,stable,0.6 ,-9.6, 11.9
"Alpena County, Michigan(6,10)",26007,***,2173.2 #  ,2010.1, 2346,133,stable,-5.3 ,-14.7, 5.1
"Richland County, Illinois(6,10)",17159,***,2172.9 ,1943.8, 2421.2,66,falling,-6.1 ,-10.1, -1.9
"Elmore County, Alabama(6,10)",01051,***,2172.5 ,2047.1, 2303.6,235,rising,2.1 ,0.5, 3.6
"Adair County, Iowa(7,8)",19001,***,2172.5 ,1854, 2529.5,35,stable,0.6 ,-0.3, 1.6
"Caroline County, Virginia(6,10)",51033,***,2172.4 ,1977.6, 2381.3,95,stable,1.7 ,-12.5, 18.3
"McDonough County, Illinois(6,10)",17109,***,2171.6 ,1986.4, 2369.2,105,stable,1.6 ,-8.8, 13.0
"Iron County, Wisconsin(6,10)",55051,***,2171.5 ,1858.2, 2522.3,35,stable,-2.8 ,-17.6, 14.7
"Lincoln County, Nebraska(6,10)",31111,***,2171.5 ,2007.5, 2345.2,133,stable,-4.8 ,-15.2, 6.8
"Effingham County, Georgia(7,8)",13103,***,2171.2 ,1999.4, 2354.1,127,stable,0.5 ,-0.8, 1.8
"Brule County, South Dakota(6,10)",46015,***,2171.2 ,1749.5, 2662.5,19,stable,12.0 ,-10.5, 40.3
"Highland County, Virginia(6,10)",51091,***,2171 ,1678.4, 2763.4,14,rising,16.0 ,2.0, 32.0
"Craven County, North Carolina(6,10)",37049,***,2170.3 ,2072.8, 2271.2,378,stable,0.8 ,-5.0, 6.8
"Lumpkin County, Georgia(7,8)",13187,***,2170.2 ,1980.4, 2373.5,102,stable,-0.6 ,-1.9, 0.7
"Brown County, Illinois(6,10)",17009,***,2170 ,1756.5, 2651.2,19,stable,10.6 ,-2.1, 25.0
"Washington County, Pennsylvania(6,10)",42125,***,2169.9 ,2103.9, 2237.4,839,stable,0.2 ,-2.3, 2.7
"Owen County, Indiana(6,10)",18119,***,2169.8 ,1952.6, 2404.7,76,stable,5.9 ,-3.0, 15.7
"Pike County, Illinois(6,10)",17149,***,2169.1 ,1943.5, 2413.7,68,stable,3.8 ,-7.3, 16.1
"Door County, Wisconsin(6,10)",55029,***,2168.5 ,2014.8, 2330.9,151,stable,3.9 ,-0.6, 8.5
"Washington County, Wisconsin(6,10)",55131,***,2168.5 ,2078.2, 2261.7,445,stable,0.6 ,-4.9, 6.3
"Hunterdon County, New Jersey(7,8)",34019,***,2168.1 ,2074.4, 2264.9,422,falling,-0.8 ,-1.3, -0.3
"Muscogee County, Georgia(7,8)",13215,***,2167.9 ,2083.8, 2254.6,511,stable,0.9 ,-2.1, 3.9
"Barrow County, Georgia(7,8)",13013,***,2167.7 ,2022.8, 2320.2,177,stable,-0.5 ,-1.4, 0.5
"Kiowa County, Oklahoma(6,10)",40075,***,2167.5 ,1866.6, 2503.3,37,falling,-8.0 ,-8.9, -7.1
"Lowndes County, Alabama(6,10)",01085,***,2167.5 ,1870.9, 2498.3,39,stable,12.7 ,-4.0, 32.3
"Cameron County, Pennsylvania(6,10)",42023,***,2166.9 ,1789.4, 2599.6,25,stable,-1.2 ,-15.1, 14.8
"Larue County, Kentucky(7,8)",21123,***,2166.9 ,1907.1, 2452.2,51,stable,0.2 ,-1.2, 1.7
"Gibson County, Indiana(6,10)",18051,***,2166.8 ,1993.3, 2351.3,117,stable,2.8 ,-3.9, 10.0
"Grayson County, Texas(6,10)",48181,***,2166.5 ,2077.1, 2258.8,451,stable,-1.6 ,-6.0, 3.1
"Hancock County, Maine(6,10)",23009,***,2166.2 ,2044.8, 2293,247,stable,1.5 ,-9.3, 13.7
"Forsyth County, North Carolina(6,10)",37067,***,2166.1 ,2109.1, 2224.3,1122,stable,1.0 ,-1.9, 4.0
"Jackson County, Ohio(6,10)",39079,***,2165.7 ,1983.7, 2359.9,107,stable,5.1 ,-14.8, 29.6
"Marshall County, Kentucky(7,8)",21157,***,2165.5 ,2005.1, 2335.4,137,stable,-0.8 ,-1.9, 0.2
"Potter County, Pennsylvania(6,10)",42105,***,2165.4 ,1955.3, 2391.9,79,stable,-7.1 ,-19.3, 6.8
"Muskingum County, Ohio(6,10)",39119,***,2165.4 ,2056.8, 2278.2,303,stable,-0.5 ,-6.2, 5.6
"Somerset County, Pennsylvania(6,10)",42111,***,2164.7 ,2060.1, 2273.3,329,stable,-2.4 ,-10.5, 6.4
"Clare County, Michigan(6,10)",26035,***,2164.7 #  ,2006.5, 2332.1,142,stable,-0.4 ,-8.1, 7.9
"Halifax County, North Carolina(6,10)",37083,***,2164.5 ,2033.4, 2301.9,206,stable,-0.6 ,-5.0, 4.0
"Knox County, Missouri(6,10)",29103,***,2164 ,1734.7, 2666.9,18,stable,5.0 ,-5.8, 17.0
"Stanley County, South Dakota(6,10)",46117,***,2163.9 ,1637.1, 2811.5,12,stable,14.1 ,-1.1, 31.7
"Northumberland County, Pennsylvania(6,10)",42097,***,2163.7 ,2067.9, 2262.7,393,stable,-0.2 ,-6.5, 6.5
"Whitley County, Kentucky(7,8)",21235,***,2163.7 ,1990, 2348.5,118,stable,-0.5 ,-1.4, 0.3
"Camden County, North Carolina(6,10)",37029,***,2163.7 ,1833.6, 2536.2,32,stable,8.7 ,-4.6, 23.8
"Covington County, Mississippi(6,10)",28031,***,2163.5 ,1933.9, 2413,66,stable,0.1 ,-7.6, 8.5
"Pike County, Georgia(7,8)",13231,***,2163.2 ,1911.4, 2439.3,56,stable,-0.4 ,-2.3, 1.6
"Madison County, Illinois(6,10)",17119,***,2162.8 ,2099.3, 2227.6,897,stable,-0.5 ,-2.6, 1.7
"Tillman County, Oklahoma(6,10)",40141,***,2162.7 ,1836.3, 2530.7,31,stable,-3.9 ,-23.2, 20.2
"Pike County, Mississippi(6,10)",28113,***,2162.6 ,1999.3, 2335.7,132,stable,-4.6 ,-12.0, 3.3
"Allegheny County, Pennsylvania(6,10)",42003,***,2162.5 ,2134.1, 2191.1,4601,stable,-1.3 ,-3.5, 0.9
"Benewah County, Idaho(7,8)",16009,***,2162.5 ,1859.8, 2500.4,38,stable,-1.1 ,-3.4, 1.2
"Boundary County, Idaho(7,8)",16021,***,2162.4 ,1888.4, 2465.2,47,stable,-0.4 ,-2.6, 1.8
"Oakland County, Michigan(7,8)",26125,***,2162 ,2131.2, 2193.1,3926,falling,-0.9 ,-1.1, -0.7
"Morrow County, Ohio(6,10)",39117,***,2162 ,1986.9, 2348.4,115,stable,2.2 ,-1.7, 6.3
"Clinton County, Missouri(6,10)",29049,***,2161.9 ,1946.9, 2394.2,75,stable,5.7 ,-11.4, 26.2
"Buena Vista County, Iowa(7,8)",19021,***,2161.1 ,1921.8, 2421.4,64,falling,-1.0 ,-1.7, -0.3
"Boone County, Iowa(7,8)",19015,***,2160.9 ,1966.9, 2368.7,94,falling,-0.8 ,-1.6, -0.1
"Ouachita County, Arkansas(6,10)",05103,***,2160.5 ,1971.6, 2362.6,98,rising,6.9 ,0.5, 13.7
"LaFourche Parish, Louisiana(7,8)",22057,***,2160 ,2049.3, 2275.2,290,stable,0.9 ,0.0, 1.8
"Cleveland County, North Carolina(6,10)",37045,***,2159.4 ,2058, 2264.5,349,stable,1.1 ,-4.0, 6.5
"Black Hawk County, Iowa(7,8)",19013,***,2158.9 ,2066.3, 2254.6,421,falling,-0.7 ,-1.0, -0.4
"Scott County, Indiana(6,10)",18143,***,2158.9 ,1944.2, 2391,77,stable,3.9 ,-6.0, 14.9
"Dodge County, Nebraska(6,10)",31053,***,2158.5 ,2002.4, 2323.4,146,stable,-1.7 ,-7.2, 4.2
"Gooding County, Idaho(7,8)",16047,***,2158.1 ,1902, 2438.9,52,stable,-0.1 ,-2.0, 2.0
"Elmore County, Idaho(7,8)",16039,***,2157.2 ,1927.6, 2406.8,66,falling,-1.6 ,-2.7, -0.4
"Garland County, Arkansas(6,10)",05051,***,2157 ,2069.7, 2247.1,464,stable,1.0 ,-3.8, 6.1
"Heard County, Georgia(7,8)",13149,***,2156.9 ,1857.1, 2492,39,stable,0.2 ,-2.0, 2.5
"Alamance County, North Carolina(6,10)",37001,***,2156.7 ,2074.6, 2241.2,530,stable,0.9 ,-6.5, 8.9
"Armstrong County, Pennsylvania(6,10)",42005,***,2156.5 ,2045.5, 2271.9,288,stable,1.1 ,-9.1, 12.4
"Gregg County, Texas(6,10)",48183,***,2156.5 ,2059, 2257.4,373,stable,-0.5 ,-4.2, 3.2
"Shelby County, Iowa(7,8)",19165,***,2156.4 ,1904.5, 2432,56,stable,0.3 ,-0.3, 1.0
"Chester County, Pennsylvania(6,10)",42029,***,2155.9 ,2107.8, 2204.8,1574,stable,-1.1 ,-4.7, 2.7
"Pulaski County, Indiana(6,10)",18131,***,2155.4 ,1892, 2445.2,49,stable,-0.4 ,-14.8, 16.4
"Lee County, Mississippi(6,10)",28081,***,2155 ,2035.7, 2279.5,249,stable,-1.4 ,-6.3, 3.7
"Lee County, Iowa(7,8)",19111,***,2154.6 ,1992.8, 2326,135,stable,-0.4 ,-0.8, 0.0
"St. Martin Parish, Louisiana(7,8)",22099,***,2153.9 ,1999.4, 2317.3,150,falling,-1.4 ,-2.5, -0.3
"Kaufman County, Texas(6,10)",48257,***,2153.9 ,2038.3, 2274.4,271,stable,1.5 ,-2.0, 5.2
"Hall County, Georgia(7,8)",13139,***,2153.8 ,2071.6, 2238.4,533,stable,-0.7 ,-1.3, 0.0
"Piatt County, Illinois(6,10)",17147,***,2153.5 ,1920.4, 2407.1,63,stable,-3.1 ,-9.4, 3.6
"Grand Forks County, North Dakota(6,10)",38035,***,2153.4 ,2005.8, 2308.9,164,stable,-0.3 ,-9.9, 10.4
"Pleasants County, West Virginia(6,10)",54073,***,2152.6 ,1802.5, 2550.9,27,stable,6.4 ,-11.0, 27.1
"Pontotoc County, Oklahoma(6,10)",40123,***,2152 ,1987.8, 2326.2,128,stable,-1.7 ,-8.6, 5.7
"Butler County, Pennsylvania(6,10)",42019,***,2151.7 ,2077.8, 2227.5,661,stable,1.1 ,0.0, 2.2
"St. Johns County, Florida(6,10)",12109,***,2151.5 ,2084.8, 2219.7,819,stable,1.7 ,-4.4, 8.2
"Cass County, North Dakota(6,10)",38017,***,2151.3 ,2052.8, 2253.2,376,stable,-0.3 ,-4.4, 3.9
"Marshall County, Iowa(7,8)",19127,***,2150.6 ,1996.3, 2313.5,149,falling,-0.5 ,-0.9, -0.1
"Dubuque County, Iowa(7,8)",19061,***,2150.4 ,2047.4, 2257.3,333,falling,-0.8 ,-1.1, -0.5
"Trigg County, Kentucky(7,8)",21221,***,2150.2 ,1913.6, 2408.4,63,stable,-0.7 ,-1.8, 0.5
"Montmorency County, Michigan(6,10)",26119,***,2149.6 #  ,1908.4, 2412.9,58,stable,0.3 ,-14.4, 17.4
"Franklin County, Georgia(7,8)",13119,***,2149.3 ,1948.3, 2365.5,85,stable,1.0 ,-0.4, 2.5
"Juneau County, Wisconsin(6,10)",55057,***,2148.8 ,1968.3, 2341.4,106,stable,2.3 ,-2.4, 7.1
"Randolph County, Illinois(6,10)",17157,***,2148.1 ,1978.7, 2327.9,122,stable,3.9 ,-8.3, 17.7
"Maury County, Tennessee(6,10)",47119,***,2148.1 ,2033.2, 2267.7,271,stable,3.8 ,-2.7, 10.7
"Harrison County, Kentucky(7,8)",21097,***,2147.8 ,1917.5, 2398.3,64,falling,-1.1 ,-1.9, -0.2
"Knox County, Maine(6,10)",23013,***,2147.8 ,2010, 2292.6,187,stable,3.6 ,-2.4, 9.9
"Boone County, West Virginia(6,10)",54005,***,2147.8 ,1941.3, 2370.3,82,stable,-2.4 ,-14.8, 11.8
"Lawrence County, Arkansas(6,10)",05075,***,2147.7 ,1927, 2386.8,70,stable,6.7 ,-0.1, 13.9
"Yates County, New York(7,8)",36123,***,2146.9 ,1959.1, 2347.9,98,falling,-1.1 ,-1.8, -0.3
"Essex County, New York(7,8)",36031,***,2146.4 ,2001.2, 2299.3,166,falling,-1.1 ,-2.0, -0.2
"Logan County, Oklahoma(6,10)",40083,***,2146.2 ,1982.3, 2320.2,131,stable,-6.8 ,-27.9, 20.4
"Gregory County, South Dakota(6,10)",46053,***,2145.6 ,1755.2, 2595.9,22,falling,-11.9 ,-19.4, -3.7
"Lunenburg County, Virginia(6,10)",51111,***,2145.4 ,1890.1, 2425.6,52,stable,-3.1 ,-20.5, 17.9
"Overton County, Tennessee(6,10)",47133,***,2145.3 ,1945.7, 2360.1,88,rising,3.1 ,0.9, 5.3
"Hopkins County, Kentucky(7,8)",21107,***,2145.2 ,1999.4, 2298.8,163,falling,-1.3 ,-2.2, -0.3
"Hendricks County, Indiana(6,10)",18063,***,2144.4 ,2049.3, 2242.7,395,stable,-0.2 ,-7.9, 8.1
"Placer County, California(7,8)",06061,***,2143.6 ,2092.6, 2195.4,1368,falling,-0.7 ,-1.1, -0.3
"Bullock County, Alabama(6,10)",01011,***,2143 ,1825.5, 2500,33,stable,9.2 ,-1.9, 21.6
"Lincoln County, Wisconsin(6,10)",55069,***,2142.6 ,1972.6, 2323.4,118,stable,1.1 ,-11.9, 16.1
"White County, Tennessee(6,10)",47185,***,2142.5 ,1961.4, 2335.8,105,stable,-2.7 ,-10.3, 5.5
"Holmes County, Mississippi(6,10)",28051,***,2142.3 ,1889, 2420,53,stable,0.7 ,-9.1, 11.7
"Walker County, Alabama(6,10)",01127,***,2142.2 ,2022.6, 2267.2,246,stable,2.6 ,-6.0, 12.1
"Oconee County, Georgia(7,8)",13219,***,2142 ,1951.5, 2346.1,98,stable,0.4 ,-1.2, 2.0
"Tulsa County, Oklahoma(6,10)",40143,***,2141.5 ,2096, 2187.8,1728,stable,1.2 ,-1.4, 3.8
"Northampton County, Virginia(6,10)",51131,***,2141.3 ,1910, 2392.8,63,stable,1.1 ,-9.1, 12.4
"Dare County, North Carolina(6,10)",37055,***,2141.2 ,1976.6, 2315.9,133,stable,2.1 ,-5.1, 9.9
"Coles County, Illinois(6,10)",17029,***,2140.9 ,1997.4, 2291.9,169,stable,-2.3 ,-5.8, 1.2
"Dallas County, Arkansas(6,10)",05039,***,2140.9 ,1821.4, 2499.9,32,stable,1.7 ,-5.4, 9.4
"Perry County, Arkansas(6,10)",05105,***,2140.7 ,1853.2, 2460.3,41,stable,11.9 ,-8.6, 37.1
"Boyle County, Kentucky(7,8)",21021,***,2140.5 ,1962.9, 2329.8,109,stable,-0.1 ,-1.5, 1.3
"Rockdale County, Georgia(7,8)",13247,***,2140.5 ,2015.3, 2271.5,231,stable,0.5 ,-0.7, 1.8
"Peoria County, Illinois(6,10)",17143,***,2140.4 ,2063.3, 2219.8,597,stable,-1.3 ,-3.9, 1.3
"Fillmore County, Nebraska(6,10)",31059,***,2140.4 ,1783.3, 2546.6,26,stable,3.1 ,-16.8, 27.7
"Sandusky County, Ohio(6,10)",39143,***,2140.2 ,2012.4, 2274,213,stable,4.8 ,-3.5, 13.9
"Dallas County, Iowa(7,8)",19049,***,2140.2 ,1999.9, 2287.6,178,falling,-0.5 ,-0.9, -0.1
"Vermillion County, Indiana(6,10)",18165,***,2139.7 ,1903.3, 2397.5,61,stable,1.3 ,-4.1, 7.0
"Baltimore County, Maryland(6,10)",24005,***,2139.7 ,2103.2, 2176.6,2744,stable,-1.3 ,-6.8, 4.5
"Potter County, Texas(6,10)",48375,***,2139.6 ,2030.4, 2253.2,294,stable,1.4 ,-4.4, 7.5
"Spencer County, Kentucky(7,8)",21215,***,2139.6 ,1861.2, 2448.6,47,stable,-0.7 ,-2.5, 1.2
"Lycoming County, Pennsylvania(6,10)",42081,***,2139.5 ,2048.5, 2233.4,427,stable,-2.8 ,-6.8, 1.4
"Polk County, Iowa(7,8)",19153,***,2139.4 ,2083, 2196.9,1132,falling,-0.3 ,-0.6, -0.1
"Tippah County, Mississippi(6,10)",28139,***,2139.3 ,1921.5, 2375.2,72,stable,-1.3 ,-14.6, 14.0
"Harnett County, North Carolina(6,10)",37085,***,2139.3 ,2030.3, 2252.6,298,stable,-4.8 ,-11.3, 2.2
"Ashley County, Arkansas(6,10)",05003,***,2139.2 ,1934.5, 2359.9,82,stable,7.6 ,-7.2, 24.9
"Magoffin County, Kentucky(7,8)",21153,***,2139.1 ,1847.1, 2464.6,40,stable,-0.8 ,-2.8, 1.2
"Carson City, Nevada(6,10)",32510,***,2139.1 ,2011.1, 2273,212,stable,-0.4 ,-7.0, 6.6
"Thurston County, Nebraska(6,10)",31173,***,2139 ,1700, 2654.1,17,stable,-9.7 ,-24.8, 8.3
"Stoddard County, Missouri(6,10)",29207,***,2138.9 ,1970.2, 2318.2,120,stable,-2.5 ,-10.1, 5.8
"La Salle Parish, Louisiana(7,8)",22059,***,2138.8 ,1879, 2424.6,50,stable,-1.2 ,-2.3, 0.0
"Habersham County, Georgia(7,8)",13137,***,2137.9 ,1989.1, 2294.8,156,stable,-0.1 ,-1.1, 0.9
"Fond du Lac County, Wisconsin(6,10)",55039,***,2137.9 ,2038, 2241.4,355,stable,1.8 ,-1.9, 5.6
"Merrick County, Nebraska(6,10)",31121,***,2137.4 ,1817.5, 2497,32,stable,6.5 ,-5.1, 19.4
"Webster County, Mississippi(6,10)",28155,***,2137.2 ,1833.8, 2476.8,36,stable,-5.3 ,-15.8, 6.4
"Barnstable County, Massachusetts(7,8)",25001,***,2137.1 ,2084, 2191.2,1253,falling,-2.0 ,-2.5, -1.4
"Calhoun County, Mississippi(6,10)",28013,***,2136.8 ,1889.1, 2407.9,54,stable,-3.5 ,-14.3, 8.8
"Island County, Washington(7,8)",53029,***,2136.5 ,2037.1, 2239.4,361,falling,-2.1 ,-3.6, -0.6
"Union County, Iowa(7,8)",19175,***,2136 ,1876.7, 2420.7,50,stable,-0.7 ,-1.3, 0.0
"St. Lawrence County, New York(7,8)",36089,***,2135.7 ,2037.3, 2237.7,360,falling,-1.6 ,-2.2, -0.9
"Copiah County, Mississippi(6,10)",28029,***,2135.2 ,1944.7, 2339.4,94,falling,-8.4 ,-15.1, -1.1
"McCook County, South Dakota(6,10)",46087,***,2135.2 ,1749.6, 2580.1,22,stable,-3.8 ,-21.5, 18.0
"Washington County, Mississippi(6,10)",28151,***,2134.8 ,1975.7, 2303.2,137,stable,-5.1 ,-13.4, 4.0
"Goochland County, Virginia(6,10)",51075,***,2134.6 ,1929.8, 2355.3,86,stable,-1.0 ,-11.0, 10.0
"Jefferson Parish, Louisiana(7,8)",22051,***,2134.4 ,2083.7, 2186.1,1389,falling,-0.5 ,-0.9, -0.1
"Lake and Peninsula Borough, Alaska(6,10)",02164,***,2133.2 ,1154.3, 3618.2,3,stable,-14.6 ,-64.2, 103.8
"Buchanan County, Iowa(7,8)",19019,***,2132.9 ,1918.2, 2365.1,73,falling,-0.7 ,-1.4, -0.1
"Whiteside County, Illinois(6,10)",17195,***,2132.9 ,2009.4, 2261.9,227,stable,0.3 ,-3.2, 4.0
"Nodaway County, Missouri(6,10)",29147,***,2132.5 ,1907.4, 2376.5,67,stable,-4.1 ,-14.1, 7.2
"Dinwiddie County, Virginia(6,10)",51053,***,2132.4 ,1938.1, 2341,91,stable,-6.8 ,-13.6, 0.6
"Jefferson Davis Parish, Louisiana(7,8)",22053,***,2132.2 ,1950.8, 2325.9,102,stable,-0.9 ,-2.1, 0.2
"Grainger County, Tennessee(6,10)",47057,***,2132 ,1933.3, 2346,89,stable,-3.4 ,-18.4, 14.3
"Montgomery County, Pennsylvania(6,10)",42091,***,2131.6 ,2095.9, 2167.8,2812,stable,-1.8 ,-4.5, 0.9
"Grant County, South Dakota(6,10)",46051,***,2131 ,1802, 2502.4,30,stable,-6.6 ,-29.0, 22.8
"Franklin City, Virginia(6,10)",51620,***,2130.7 ,1808.2, 2493.9,32,stable,-1.3 ,-20.4, 22.4
"Kalkaska County, Michigan(6,10)",26079,***,2130.7 #  ,1902.7, 2378.7,66,stable,2.0 ,-8.6, 13.8
"Bienville Parish, Louisiana(7,8)",22013,***,2130.7 ,1888.6, 2395,57,stable,-0.5 ,-2.3, 1.3
"Guilford County, North Carolina(6,10)",37081,***,2130.5 ,2081.6, 2180.3,1481,stable,0.9 ,-2.9, 4.9
"Butte County, California(7,8)",06007,***,2130.4 ,2063.5, 2199,792,falling,-3.9 ,-6.6, -1.1
"Beaver County, Pennsylvania(6,10)",42007,***,2130.3 ,2059.6, 2202.9,701,stable,-2.6 ,-6.4, 1.4
"Flagler County, Florida(6,10)",12035,***,2129.8 ,2053.8, 2208,603,stable,-2.3 ,-10.4, 6.5
"Cabarrus County, North Carolina(6,10)",37025,***,2129.4 ,2045.2, 2216.2,498,stable,-0.4 ,-6.4, 6.0
"Burnett County, Wisconsin(6,10)",55013,***,2128.4 ,1927.4, 2344.9,84,stable,2.1 ,-9.6, 15.3
"Lee County, Texas(6,10)",48287,***,2128.2 ,1894.3, 2383,61,rising,11.6 ,0.2, 24.4
